quantCols	condition	sampleId	lab	repeat
Intensity.6A_1	A	A_1	lab1	rep1
Intensity.6A_2	A	A_2	lab1	rep2
Intensity.6A_3	A	A_3	lab1	rep3
Intensity.6A_4	A	A_4	lab2	rep4
Intensity.6A_5	A	A_5	lab2	rep5
Intensity.6A_6	A	A_6	lab2	rep6
Intensity.6A_7	A	A_7	lab3	rep7
Intensity.6A_8	A	A_8	lab3	rep8
Intensity.6A_9	A	A_9	lab3	rep9
Intensity.6B_1	B	B_1	lab1	rep1
Intensity.6B_2	B	B_2	lab1	rep2
Intensity.6B_3	B	B_3	lab1	rep3
Intensity.6B_4	B	B_4	lab2	rep4
Intensity.6B_5	B	B_5	lab2	rep5
Intensity.6B_6	B	B_6	lab2	rep6
Intensity.6B_7	B	B_7	lab3	rep7
Intensity.6B_8	B	B_8	lab3	rep8
Intensity.6B_9	B	B_9	lab3	rep9
Intensity.6C_1	C	C_1	lab1	rep1
Intensity.6C_2	C	C_2	lab1	rep2
Intensity.6C_3	C	C_3	lab1	rep3
Intensity.6C_4	C	C_4	lab2	rep4
Intensity.6C_5	C	C_5	lab2	rep5
Intensity.6C_6	C	C_6	lab2	rep6
Intensity.6C_7	C	C_7	lab3	rep7
Intensity.6C_8	C	C_8	lab3	rep8
Intensity.6C_9	C	C_9	lab3	rep9
Intensity.6D_1	D	D_1	lab1	rep1
Intensity.6D_2	D	D_2	lab1	rep2
Intensity.6D_3	D	D_3	lab1	rep3
Intensity.6D_4	D	D_4	lab2	rep4
Intensity.6D_5	D	D_5	lab2	rep5
Intensity.6D_6	D	D_6	lab2	rep6
Intensity.6D_7	D	D_7	lab3	rep7
Intensity.6D_8	D	D_8	lab3	rep8
Intensity.6D_9	D	D_9	lab3	rep9
Intensity.6E_1	E	E_1	lab1	rep1
Intensity.6E_2	E	E_2	lab1	rep2
Intensity.6E_3	E	E_3	lab1	rep3
Intensity.6E_4	E	E_4	lab2	rep4
Intensity.6E_5	E	E_5	lab2	rep5
Intensity.6E_6	E	E_6	lab2	rep6
Intensity.6E_7	E	E_7	lab3	rep7
Intensity.6E_8	E	E_8	lab3	rep8
Intensity.6E_9	E	E_9	lab3	rep9
