Name	Fraction	Experiment
20180207_QX8_DaIt_MA_BSA		ConKC
20180207_QX8_DaIt_MA_BSA_181019115902		ConSC
20180207_QX8_DaIt_MA_BSA_181020135606		ConHC
20180821_QX8_JRW_SA_CT_KK34		SC1
20180821_QX8_JRW_SA_CT_KK35		EC1
20180821_QX8_JRW_SA_CT_KK36		HC1
20180821_QX8_JRW_SA_CT_KK37		KC1
20180821_QX8_JRW_SA_CT_KK38		SC2
20180821_QX8_JRW_SA_CT_KK39		KC2
20180821_QX8_JRW_SA_CT_KK40		HC2
20180821_QX8_JRW_SA_CT_KK41		EC2
20180821_QX8_JRW_SA_CT_KK42		EC3
20180821_QX8_JRW_SA_CT_KK43		HC3
20180821_QX8_JRW_SA_CT_KK44		KC3
20180821_QX8_JRW_SA_CT_KK45		SC3
20180821_QX8_JRW_SA_L_KK34		SC1
20180821_QX8_JRW_SA_L_KK35		EC1
20180821_QX8_JRW_SA_L_KK36		HC1
20180821_QX8_JRW_SA_L_KK37		KC1
20180821_QX8_JRW_SA_L_KK38		SC2
20180821_QX8_JRW_SA_L_KK39		KC2
20180821_QX8_JRW_SA_L_KK40		HC2
20180821_QX8_JRW_SA_L_KK41		EC2
20180821_QX8_JRW_SA_L_KK42		EC3
20180821_QX8_JRW_SA_L_KK43		HC3
20180821_QX8_JRW_SA_L_KK44		KC3
20180821_QX8_JRW_SA_L_KK45		SC3
20180821_QX8_JRW_SA_T_KK34		SC1
20180821_QX8_JRW_SA_T_KK35		EC1
20180821_QX8_JRW_SA_T_KK36		HC1
20180821_QX8_JRW_SA_T_KK37		KC1
20180821_QX8_JRW_SA_T_KK38		SC2
20180821_QX8_JRW_SA_T_KK39		KC2
20180821_QX8_JRW_SA_T_KK40		HC2
20180821_QX8_JRW_SA_T_KK41		EC2
20180821_QX8_JRW_SA_T_KK42		EC3
20180821_QX8_JRW_SA_T_KK43		HC3
20180821_QX8_JRW_SA_T_KK44		KC3
20180821_QX8_JRW_SA_T_KK45		SC3
