Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20180207_QX8_DaIt_MA_BSA	ConKC	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10771	34944	0	52370	17496	0	34874	224	217	0	7	0.43	1.24	NaN	0.02	85	506945	30764	6.07	1294	4.21	41098	14795	13266	36	58.82	2059	13.92	+	0.88786	1.1395	0.5724	0.80588	
20180207_QX8_DaIt_MA_BSA_181019115902	ConSC	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10825	34500	0	51316	17666	0	33650	288	275	0	13	0.56	1.56	NaN	0.04	118	474312	30288	6.39	1330	4.39	39591	15013	13612	37.92	59.97	2014	13.42	+	0.88755	1.1221	0.61295	0.85231	
20180207_QX8_DaIt_MA_BSA_181020135606	ConHC	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10844	34525	0	51806	17216	0	34590	213	208	0	5	0.41	1.21	NaN	0.01	79	478841	30161	6.3	1371	4.55	37695	14350	13120	38.07	59.64	2184	15.22	+	0.89172	1.1639	0.59055	0.87893	
20180821_QX8_JRW_SA_CT_KK34	SC1	Trypsin/P;Chymotrypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14481	106113	0	130015	82211	0	47804	12958	12561	0	397	9.97	15.28	NaN	0.83	10646	1315680	100923	7.67	2993	2.97	173153	74077	70975	42.78	56.34	6802	9.18	+	0.78927	1.1006	0.51786	0.74204	
20180821_QX8_JRW_SA_CT_KK35	EC1	Trypsin/P;Chymotrypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14481	106273	0	129144	83400	0	45744	13029	12515	0	514	10.09	15.01	NaN	1.12	11064	1370799	101596	7.41	2835	2.79	180598	75794	72495	41.97	54.84	6414	8.46	+	0.80163	1.1159	0.5189	0.74286	
20180821_QX8_JRW_SA_CT_KK36	HC1	Trypsin/P;Chymotrypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14652	105302	0	129420	81184	0	48236	12862	12389	0	473	9.94	15.26	NaN	0.98	10171	1294795	99624	7.69	3432	3.44	163588	72445	69444	44.29	57.26	7289	10.06	+	0.73545	1.0379	0.47563	0.69304	
20180821_QX8_JRW_SA_CT_KK37	KC1	Trypsin/P;Chymotrypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		16033	95217	0	122008	68426	0	53582	3701	3669	0	32	3.03	5.36	NaN	0.06	3334	1189686	88820	7.47	3293	3.71	132279	59604	55512	45.06	60.24	7099	11.91	+	0.79579	1.0768	0.51904	0.71905	
20180821_QX8_JRW_SA_CT_KK38	SC2	Trypsin/P;Chymotrypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14666	106431	0	135798	77064	0	58734	9855	9511	0	344	7.26	12.34	NaN	0.59	8299	1364398	100096	7.34	3539	3.54	154352	68601	65334	44.44	57.91	6870	10.01	+	0.77633	1.0785	0.50493	0.72791	
20180821_QX8_JRW_SA_CT_KK39	KC2	Trypsin/P;Chymotrypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14551	105473	0	133578	77366	0	56212	6940	6686	0	254	5.2	8.64	NaN	0.45	5848	1175784	98542	8.38	3870	3.93	145704	67807	64190	46.54	60.56	7777	11.47	+	0.78207	1.0727	0.51352	0.72461	
20180821_QX8_JRW_SA_CT_KK40	HC2	Trypsin/P;Chymotrypsin	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		14557	106246	0	132081	80411	0	51670	11166	10753	0	413	8.45	13.37	NaN	0.8	8919	1305926	100034	7.66	3810	3.81	163157	70936	67511	43.48	58.18	7754	10.93	+	0.72581	1.0217	0.47594	0.69401	
