Channel	Condition	Run	BioReplicate	Mixture	Fraction	TechRepMixture	File.Name	Duration	Diet	runCol	quantCols
126	Long_LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X126	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..126
126	Long_LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X126	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..126
127N	Long_LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X127_N	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..127N
127N	Long_LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X127_N	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..127N
127C	Long_M	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X127_C	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Long	M	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..127C
127C	Long_M	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X127_C	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Long	M	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..127C
128N	Short_LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X128_N	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..128N
128N	Short_LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X128_N	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..128N
128C	Norm	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X128_C	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..128C
128C	Norm	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X128_C	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..128C
