Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	S:\Proteomics_Restored\6883\DIA\raw\B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000278_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000282_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000286_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000302_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000306_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000310_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_3.raw
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	1.81401e+07	1.611e+07	1.50794e+07	1.64792e+07	1.62875e+07	1.48605e+07	1.93062e+07	1.80885e+07	1.45273e+07
D6VTK4	STE2_YEAST	STE2	Pheromone alpha factor receptor	4	4	1.28599e+06	1.29008e+06	1.39068e+06	1.32447e+06	1.01175e+06	1.23472e+06	1.60817e+06	1.16372e+06	1.83314e+06
O13297	CET1_YEAST	CET1	mRNA-capping enzyme subunit beta	12	12	2.69903e+07	2.65683e+07	2.44769e+07	2.33729e+07	2.47716e+07	2.27923e+07	2.59389e+07	2.74704e+07	2.54171e+07
O13329	FOB1_YEAST	FOB1	DNA replication fork-blocking protein FOB1	6	6	2.55383e+07	2.66631e+07	2.40208e+07			1.92487e+07	1.75935e+07	2.95031e+07	
O13516	RS9A_YEAST	RPS9A	Small ribosomal subunit protein uS4A	12	1	5.96613e+08	5.92536e+08	5.71106e+08	5.77636e+08	5.89109e+08	5.92539e+08	5.42426e+08	5.46914e+08	5.90129e+08
O13525	COQ4_YEAST	COQ4	Ubiquinone biosynthesis protein COQ4, mitochondrial	2	2	213252	287557	314098	213170	178825	358129	228453	236899	357776
O13531	YL202_YEAST	YLR202C	Putative uncharacterized protein YLR202C	1	1	93516.3	2.00279e+06			3.33011e+06	2.26421e+06			
O13539	THP2_YEAST	THP2	THO complex subunit THP2	6	6	983552	1.10833e+06	1.2235e+06	873660	913874	1.22629e+06	861163	924435	1.00006e+06
O13563	RPN13_YEAST	RPN13	26S proteasome regulatory subunit RPN13	6	6	4.0068e+07	4.02332e+07	4.34899e+07	3.81113e+07	4.07777e+07	4.27638e+07	3.88591e+07	4.20455e+07	3.90244e+07
O13585	YP089_YEAST	YPR089W	Dilute domain-containing protein YPR089W	10	10	4.55323e+06	4.17779e+06	3.66614e+06	4.19964e+06	4.42918e+06	3.97584e+06	3.99963e+06	3.89159e+06	4.61412e+06
O14455	RL36B_YEAST	RPL36B	Large ribosomal subunit protein eL36B	4	1	4.97083e+08	5.78106e+08	5.44308e+08	5.83635e+08	5.18686e+08	5.54074e+08	5.31227e+08	6.15236e+08	5.62422e+08
O14467	MBF1_YEAST	MBF1	Multiprotein-bridging factor 1	8	8	1.28419e+08	1.30377e+08	1.22218e+08	1.31478e+08	1.32827e+08	1.34057e+08	1.26086e+08	1.1621e+08	1.24851e+08
O14468	YO304_YEAST	YOR304C-A	Uncharacterized protein YOR304C-A	2	2	1.30527e+06	1.33203e+06	1.16659e+06	1.24072e+06	1.0809e+06	1.3584e+06	1.26191e+06	1.48989e+06	1.26003e+06
O43137	YB085_YEAST	YBR085C-A	Uncharacterized protein YBR085C-A	4	4	8.70478e+07	9.20072e+07	9.08299e+07	9.4737e+07	8.20944e+07	8.82025e+07	8.07673e+07	9.46589e+07	8.23521e+07
O60200	MDM35_YEAST	MDM35	Mitochondrial distribution and morphology protein 35	3	3	3.21438e+06	2.9658e+06	2.47587e+06	3.05886e+06	3.01892e+06	2.94994e+06	2.27123e+06	2.57791e+06	2.51383e+06
O74700	TIM9_YEAST	TIM9	Mitochondrial import inner membrane translocase subunit TIM9	5	5	1.8904e+07	2.21098e+07	1.431e+07	1.78803e+07	1.90197e+07	1.81796e+07	1.72843e+07	1.90037e+07	1.56658e+07
O94742	SEM1_YEAST	SEM1	26S proteasome complex subunit SEM1	1	1	1.94624e+07	2.01968e+07	2.07515e+07	1.9486e+07	2.55767e+07	2.06377e+07	2.12771e+07	2.07708e+07	2.08909e+07
P00044	CYC1_YEAST	CYC1	Cytochrome c isoform 1	2	2	3.61598e+06	3.76904e+06	3.07935e+06	2.21749e+06	1.69084e+06	3.4208e+06	2.61136e+06	2.99155e+06	3.22009e+06
P00045	CYC7_YEAST	CYC7	Cytochrome c isoform 2	6	5	1.22461e+07	1.4516e+07	1.33773e+07	1.51531e+07	1.22568e+07	1.19688e+07	1.03487e+07	1.27713e+07	1.43951e+07
P00127	QCR6_YEAST	QCR6	Cytochrome b-c1 complex subunit 6, mitochondrial	3	3	1.08363e+07	1.26966e+07	1.32198e+07	7.76375e+06	1.06751e+07	1.19553e+07	5.56868e+06	9.08425e+06	1.16135e+07
P00128	QCR7_YEAST	QCR7	Cytochrome b-c1 complex subunit 7, mitochondrial	3	3	2.84624e+06	2.82562e+06	3.1857e+06	2.95774e+06	2.52642e+06	2.34736e+06	3.02497e+06	2.61637e+06	3.09539e+06
P00175	CYB2_YEAST	CYB2	L-lactate dehydrogenase (cytochrome)	4	4	548369	693303	594284	550094	717939	666370	749278	913839	689187
P00330	ADH1_YEAST	ADH1	Alcohol dehydrogenase 1	15	9	6.78008e+09	7.18608e+09	6.91077e+09	7.16469e+09	7.04032e+09	6.86073e+09	6.85482e+09	7.4412e+09	8.28743e+09
P00358	G3P2_YEAST	TDH2	Glyceraldehyde-3-phosphate dehydrogenase 2	3	3	9.54942e+08	1.30812e+09	1.31493e+09	1.12053e+09	1.27255e+09	1.14707e+09	1.17524e+09	1.32362e+09	1.47529e+09
P00359	G3P3_YEAST	TDH3	Glyceraldehyde-3-phosphate dehydrogenase 3	12	5	3.6728e+09	3.90496e+09	4.12453e+09	3.62012e+09	3.61842e+09	4.42763e+09	3.78368e+09	5.84596e+09	4.17676e+09
P00360	G3P1_YEAST	TDH1	Glyceraldehyde-3-phosphate dehydrogenase 1	19	11	4.75625e+09	4.69782e+09	5.07271e+09	4.24731e+09	4.72552e+09	4.81455e+09	4.73123e+09	4.26551e+09	5.38057e+09
P00425	COX5B_YEAST	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	2	2	2.32081e+06	1.87851e+06	2.47388e+06	1.88461e+06	1.967e+06	2.25773e+06	2.53865e+06	2.08701e+06	2.02713e+06
P00427	COX6_YEAST	COX6	Cytochrome c oxidase subunit 6, mitochondrial	7	7	1.18438e+07	1.36274e+07	1.24349e+07	1.39183e+07	1.3138e+07	1.50507e+07	1.55689e+07	1.34616e+07	1.51679e+07
P00431	CCPR_YEAST	CCP1	Cytochrome c peroxidase, mitochondrial	12	12	7.04039e+06	7.39471e+06	7.12527e+06	6.99351e+06	7.50061e+06	7.26845e+06	7.62411e+06	7.66385e+06	7.89862e+06
P00445	SODC_YEAST	SOD1	Superoxide dismutase [Cu-Zn]	10	10	4.24765e+08	4.75528e+08	4.86851e+08	5.00382e+08	4.95497e+08	4.99038e+08	4.53246e+08	4.78633e+08	4.92535e+08
P00447	SODM_YEAST	SOD2	Superoxide dismutase [Mn], mitochondrial	8	8	6.40897e+07	8.96035e+07	8.58848e+07	8.77731e+07	8.56454e+07	9.63789e+07	8.99724e+07	7.67114e+07	7.20343e+07
P00498	HIS1_YEAST	HIS1	ATP phosphoribosyltransferase	15	15	7.50753e+07	7.4857e+07	7.4522e+07	7.34032e+07	7.00822e+07	7.31228e+07	7.38704e+07	7.30056e+07	7.05717e+07
P00546	CDK1_YEAST	CDC28	Cyclin-dependent kinase 1	14	12	1.61941e+07	1.6489e+07	1.47614e+07	1.52258e+07	1.47705e+07	1.46858e+07	1.66095e+07	1.46126e+07	1.52414e+07
P00549	KPYK1_YEAST	CDC19	Pyruvate kinase 1	33	31	4.02907e+09	4.14866e+09	4.33943e+09	3.99114e+09	4.27245e+09	4.2184e+09	3.843e+09	4.49917e+09	4.31748e+09
P00560	PGK_YEAST	PGK1	Phosphoglycerate kinase	31	31	4.84683e+09	5.21179e+09	5.29786e+09	4.93772e+09	4.7134e+09	5.17532e+09	4.44825e+09	5.11214e+09	5.30999e+09
P00572	KTHY_YEAST	CDC8	Thymidylate kinase	1	1	7.30982e+06	6.35834e+06	5.02411e+06	5.08233e+06	5.30882e+06	6.25238e+06	4.39208e+06	6.1282e+06	5.21825e+06
P00635	PPA5_YEAST	PHO5	Repressible acid phosphatase	2	2	5.85298e+06	4.40383e+06	7.96038e+06	7.55023e+06	8.05357e+06	8.12048e+06	7.14526e+06	8.33916e+06	8.36967e+06
P00724	INV2_YEAST	SUC2	Invertase 2	12	12	4.10018e+07	3.97664e+07	4.02799e+07	3.93255e+07	4.34652e+07	4.07051e+07	4.09632e+07	4.61338e+07	4.0445e+07
P00729	CBPY_YEAST	PRC1	Carboxypeptidase Y	7	7	6.41546e+07	6.31878e+07	7.26293e+07	6.78875e+07	6.89232e+07	7.7541e+07	6.60461e+07	6.54982e+07	6.65894e+07
P00812	ARGI_YEAST	CAR1	Arginase	11	11	2.56681e+07	2.60045e+07	2.55321e+07	2.75199e+07	2.64196e+07	2.58032e+07	2.44128e+07	2.56203e+07	2.33372e+07
P00815	HIS2_YEAST	HIS4	Histidine biosynthesis trifunctional protein	30	30	1.2794e+08	1.26392e+08	1.22503e+08	1.27118e+08	1.28163e+08	1.27298e+08	1.27921e+08	1.21614e+08	1.25886e+08
P00817	IPYR_YEAST	IPP1	Inorganic pyrophosphatase	16	16	3.99188e+08	4.27588e+08	4.44327e+08	4.172e+08	4.53779e+08	4.68601e+08	4.25623e+08	4.28725e+08	4.43716e+08
P00830	ATPB_YEAST	ATP2	ATP synthase subunit beta, mitochondrial	22	22	1.88866e+08	1.78053e+08	1.71891e+08	1.74988e+08	1.82313e+08	1.79485e+08	1.84686e+08	1.80658e+08	1.81647e+08
P00890	CISY1_YEAST	CIT1	Citrate synthase, mitochondrial	20	20	5.17081e+07	4.90201e+07	4.94349e+07	5.21954e+07	4.83295e+07	4.87468e+07	4.93442e+07	4.87051e+07	4.87826e+07
P00899	TRPE_YEAST	TRP2	Anthranilate synthase component 1	19	19	3.16673e+07	3.16852e+07	2.98968e+07	3.11659e+07	3.08132e+07	3.14607e+07	3.00513e+07	3.1759e+07	3.01084e+07
P00912	TRPF_YEAST	TRP1	N-(5'-phosphoribosyl)anthranilate isomerase	2	2	3.44233e+06	3.44518e+06	2.9967e+06	3.12054e+06	3.11099e+06	3.37666e+06	3.37531e+06	2.75947e+06	3.4724e+06
P00924	ENO1_YEAST	ENO1	Enolase 1	11	11	2.01952e+09	2.14172e+09	2.36984e+09	1.9444e+09	2.23855e+09	2.25883e+09	2.1088e+09	2.30575e+09	2.47224e+09
P00925	ENO2_YEAST	ENO2	Enolase 2	24	15	6.78159e+09	5.97328e+09	8.32846e+09	5.3575e+09	5.48018e+09	5.85313e+09	6.58934e+09	6.79047e+09	6.6621e+09
P00927	THDH_YEAST	ILV1	Threonine dehydratase, mitochondrial	18	18	1.42314e+07	1.41101e+07	1.36335e+07	1.34972e+07	1.42668e+07	1.35612e+07	1.3959e+07	1.41447e+07	1.38003e+07
P00931	TRP_YEAST	TRP5	Tryptophan synthase	33	33	8.13848e+07	7.89436e+07	8.09498e+07	8.14889e+07	7.94448e+07	7.72585e+07	7.67584e+07	8.26159e+07	7.8089e+07
P00937	TRPG_YEAST	TRP3	Multifunctional tryptophan biosynthesis protein	16	16	1.66967e+07	1.63562e+07	1.6679e+07	1.55734e+07	1.53646e+07	1.62766e+07	1.57444e+07	1.4914e+07	1.70416e+07
P00942	TPIS_YEAST	TPI1	Triosephosphate isomerase	15	15	1.17834e+09	1.19341e+09	1.06247e+09	1.18357e+09	1.11552e+09	1.08568e+09	1.14582e+09	1.12167e+09	1.29708e+09
